problem_id,iteration,field,adding_knowledge,example_testing,uncertainty_estimation,backtracking
2024-II-14,1,reasoning_output,7,7,4,3
2024-II-14,2,reasoning_output,4,5,3,3
2024-II-14,3,reasoning_output,5,5,6,6
2024-II-14,4,reasoning_output,7,9,7,4
2024-I-9,1,reasoning_output,4,2,5,5
2024-I-9,2,reasoning_output,7,2,12,5
2024-I-9,3,reasoning_output,7,3,7,3
2024-I-9,4,reasoning_output,1,1,0,0
2024-I-5,1,reasoning_output,0,0,1,1
2024-I-5,2,reasoning_output,4,0,8,5
2024-I-5,3,reasoning_output,8,0,4,4
2024-I-5,4,reasoning_output,1,0,1,0
2024-II-8,1,reasoning_output,1,0,0,0
2024-II-8,2,reasoning_output,3,0,18,10
2024-II-8,3,reasoning_output,1,0,1,1
2024-II-8,4,reasoning_output,1,0,1,2
2024-II-9,1,reasoning_output,8,0,15,14
2024-II-9,2,reasoning_output,0,0,6,6
2024-II-9,3,reasoning_output,0,0,6,10
2024-II-9,4,reasoning_output,0,0,24,1
